,total_count,tfidf_rate
abad,1,0.3772642141081466
abadi,1,0.4160558068814949
abaesq,1,0.48782943464156703
abafazi,1,0.3065864422561732
abainsider,1,0.48782943464156703
aband,1,0.4670242658507779
abandon,14,6.706958468070178
abandoned,27,11.462889799610343
abandonedcitizenofstate,1,0.39803072597609157
abandoning,4,1.8980192972403307
abandonmen,1,0.4532406189832291
abandonment,3,1.2710848308351164
abangan,2,0.757155992992973
abankwa,1,0.5147204046932701
abantu,1,0.5366712915967222
abaout,1,0.5345668957324369
abap,1,0.3506743981990885
abate,1,0.48337177642200807
abated,1,0.4629695067452967
abates,1,0.5147965026300152
abating,1,0.5395954765266363
abattoir,6,2.6220530130573456
abaya,1,0.5000206107872062
abayomi,2,1.0934130800180397
abbas,3,1.2869832746714251
abbasi,2,0.7783675580039405
abbatoir,1,0.42141289217547234
abbey,5,2.0649399326413302
abbeymead,1,0.42558807229412715
abbo,1,0.45641524166583186
abbot,3,1.4921235047221737
abbotsford,2,1.0196553088234517
abbott,29,11.983056992201814
abbottabad,1,0.5597499179572901
abbottfailedtexas,1,0.507983720661849
abbottresign,1,0.5206950182913513
abbreviated,2,1.0457746969333883
abbvie,2,0.8906498853468383
abby,3,1.4379545242560923
abchealth,1,0.4715636124635167
abclaw,1,0.4894274386190839
abcmelbourne,1,0.495375997616181
abcnew,1,0.8166026796446079
abcnews,9,3.9937278277727035
abcricketbuzzega,1,0.4403160278771334
abcrn,1,0.45673131935895084
abdeen,1,0.4229359779741292
abdel,2,0.8294447054489222
abdicate,2,1.1836452251382514
abdicated,14,6.169512588850875
abdication,3,1.4298543354721496
abdo,1,0.3972341429922947
abdoctors,1,0.47912866854511227
abdolute,1,0.6200626439518994
abdominal,3,1.253268318299667
abdominalpain,1,0.401850016204295
abdon,1,0.3960815674497687
abdool,2,0.9101921873738315
abdoulaye,1,0.4883820584908109
abdu,1,0.45953323749098623
abducte,1,0.45032896906533687
abducted,3,1.2314334052749716
abducting,1,0.38474579540956283
abduction,1,0.6028035542325862
abdul,8,3.1867827976106953
abdulaziz,1,0.4438384204551355
abdulla,6,2.312380981505296
abdullah,10,3.70896149290206
abdullahi,1,0.38637957141024964
abdullatif,2,0.889889443116449
abdulrahman,1,0.43003218090796447
abdulrazaq,1,0.43003218090796447
abdulwahab,1,0.3879806955069979
abdusshaheed,1,0.4857042351086992
abebooks,1,0.5637832675799845
abed,8,4.570556567507541
abednego,1,0.4294531215537509
abeercares,1,0.7678681328907639
abeg,6,2.566129147080182
abeid,1,0.37956430895134735
abel,3,1.1766220107564118
abenomics,1,0.4338418386040353
aber,1,0.4705745735159182
aberaeron,1,0.6039329053740887
aberdeen,51,22.22647861112044
aberdeenfc,1,0.4954532645952966
aberdeenshire,4,2.2214640493594757
aberfeldy,1,0.5300376720235717
abetted,1,0.43654589883647954
abetting,2,1.0065553968448957
abhay,3,1.4385851795856912
abhealth,4,1.9506355594316422
abhi,3,1.2220778593943842
abhihaara,1,0.4737224323101662
abhijeet,1,0.5098565802130721
abhijeetbhattacharya,1,0.5098565802130721
abhijit,8,2.866990999678356
abhijitbanerjee,1,0.39267913944464317
abhiram,1,0.4490657694508325
abhishek,24,10.732605378853737
abhishekbachchan,41,19.76120587511434
abhor,1,0.5719018452967064
abhorr,1,0.5819498306718498
abhorrent,2,0.9151475728141203
abhsihekbachchan,1,0.502754289710164
abhushan,1,0.4118315601943653
abhyaas,1,0.35447969167111026
abhyas,1,0.9041057697572434
abia,6,2.418696748079385
abiara,1,0.47185893641994464
abiastate,1,0.4099607442377021
abiball,2,0.9784567057888822
abide,9,3.798431285985693
abides,1,0.4952397098985501
abiding,11,4.750522718565533
abigail,13,5.535970984633168
abil,1,0.4443067846830194
abilene,1,0.5548523061824218
abili,2,0.8892872110746717
abilit,1,0.5428194169898062
abiliti,1,0.5384690122461854
ability,119,43.28156844520722
abilityspark,1,0.48532420303875534
abimiku,1,0.5203703414606676
abingdon,1,0.582724907104854
abington,1,0.6522345265133012
abio,1,0.4556341321459086
abiodun,1,0.39403099603690656
abiriba,1,0.4099607442377021
abiso,1,0.39745884371766715
abivertinib,1,0.4656632473718904
abiy,8,3.6365912676390817
abiyahmed,1,0.44630687284523873
abiyahmedisamurderer,1,0.4471180456147728
abiyahmediscriminal,1,0.523843838882519
abiyemustgo,1,0.5186219650542844
abiyisakiller,1,0.4471180456147728
abiymustgo,4,1.763636677287573
abject,12,5.31606509685896
abkhazia,1,0.5393874000194605
ablackmanwaslynchedyesterday,1,0.45735337067375675
ablaze,3,1.197552651671098
able,705,225.61727980915077
abled,4,1.684266009935619
ableg,13,5.892150937021038
ableism,3,1.388132710623669
ableist,1,0.47729263083534806
ably,1,0.5581600679623864
abnegation,1,0.4483649157759214
abnl,1,0.39113156721932457
abnomare,1,0.4705415218788436
abnormal,13,5.779801807490229
abnormalites,1,0.396023493267952
abnormality,6,2.9452464796411295
abnormally,1,0.46249458212373085
abnormalrey,1,0.43735589225102905
abntelugu,2,1.2686862004726973
aboard,16,6.426276320960821
aboards,3,1.3120512858277376
aboi,1,0.34025419991482925
aboki,1,0.581819449253929
abolish,6,2.522959287585939
abolished,3,1.5228159390896123
abolishice,1,0.435068746524014
abolishing,2,1.125247244466202
abolishprisons,1,0.48776223440203975
abolishthepolice,1,0.4619152375998787
abolition,1,0.4399829153911328
abolitionist,1,0.4207066148754601
abomb,1,0.5359043852895798
abominable,1,0.6088083401948994
abomination,3,1.3301636212682937
aboot,2,0.9549790152465836
aboriginal,10,4.572953970698158
abort,1,0.33205566660719904
aborted,10,4.457446610902703
abortifacient,1,0.5248588445410276
aborting,1,0.43415468525762935
abortio,1,0.5239823448402856
abortion,46,19.901015979111957
abortionpill,1,0.47456309837248123
aboru,1,0.5296092982254679
aboselli,1,0.4058127090116948
abou,59,23.634995451170898
aboult,1,0.44932066000181514
abound,4,1.969081995087671
abounding,3,1.3686324364540932
abounds,1,0.5265165498616475
abour,1,0.5390161796955859
abovementioned,1,0.36341421510913896
abovetheclouds,1,0.39925683915539095
abovethelaw,1,0.5233399326291363
abpnews,1,0.47120584034778784
abpoli,24,10.163507687539834
abra,3,1.5310170156122893
abraham,5,2.191599251149524
abrahamic,1,0.4282784348825234
abrams,1,0.3636359307657096
abreast,1,0.445258358183605
abreu,1,0.3745437952551892
abrevation,1,0.8735673261581989
abridged,1,0.401956742907487
abril,1,0.37580915184915165
abro,1,0.589912131062802
abroad,96,38.06920100034454
abrog,1,0.5057797616759308
abrogation,4,2.0723332827958285
abru,1,0.44221970919843095
abrupt,5,2.36064568421497
abruptly,7,2.997053044695246
absa,2,0.8863123075735985
absacybertips,2,0.9214349035990297
absaprem,6,2.5821760922200916
abscbnfranchiserenewal,1,0.368774530747899
absconded,1,0.5084485419885062
absconding,1,0.4523724487834602
absenc,1,0.5209744324833534
absence,39,15.816671983171215
absent,16,7.776946587289295
absentandy,1,0.5701815115360377
absentee,19,8.59487095446175
absenteeballot,22,9.638516181676284
absenteeballots,2,1.0339935291967484
absenteevoting,1,0.46859974005015687
absentia,3,1.4504812005065246
absentmindedly,1,0.6357936632521645
abso,1,0.5146440744537392
absoftworld,1,0.41591033616252765
absofuckinlutely,1,0.5382230855273326
absol,2,0.8503855852611032
absolut,1,0.5926777268735085
absolute,98,38.6519313534025
absolutel,3,1.3159547436503949
absolutelove,2,0.7154933362412952
absolutely,282,101.2884598791559
absolutelydisgusting,1,0.5305391574131185
absolutement,1,0.5514386659226891
absolutly,1,0.5704041292508499
absolve,1,0.49214834105489025
absolved,1,0.48216361317233686
absolving,1,0.5279211532739636
absorb,6,2.7677569000152222
absorbed,2,1.1766960325207414
absorber,1,0.5610148994062015
absorbing,3,1.5947961692003783
absorpti,1,0.5057418929586531
absorption,1,0.3881635175509681
abstain,1,0.4928767696454714
abstained,1,0.4741989419164235
abstention,1,0.4643830686109313
abstinence,2,0.8264477790650939
abstra,2,0.9835489857037841
abstract,48,17.712138026899193
abstractart,2,0.8240774343375542
abstractexpressionism,4,2.008217767241582
abstraction,2,1.2038260893625083
abstractscience,1,0.434033911212353
abstraxmax,1,0.4035014257797164
absur,2,1.1579496880329028
absurd,34,14.518145256885234
absurdity,7,3.28111639191548
absurdly,2,1.0355609319601413
absymally,1,0.4984766551091474
abudhabi,42,16.68651032688852
abuduction,1,0.5533177351264015
abuhab,1,0.4163290606037961
abuja,28,11.005779522592865
abujafashion,1,0.36813814123965527
abujamakeupartist,1,0.4918517624494951
abujatwittercommunity,6,2.805325888073121
abujavendorshub,1,0.44923899873854595
abule,1,0.40742557580638333
abundance,6,2.6435401325679204
abundant,3,1.4013567191425844
abundantly,7,3.0679261973817806
abunnyaday,1,0.4057642773838981
abus,12,4.87806093695665
abuse,92,34.01142222231796
abused,19,8.088416738523458
abusee,1,0.4766755457577656
abuseofpower,2,1.0657709952200543
abuser,6,2.971159895916844
abusi,1,0.436520526249578
abusing,8,3.522757734129509
abusive,15,6.150724955892992
abyei,1,0.43170224860235756
abysmal,5,2.369332957895923
abyss,8,3.4220883465810576
acab,3,1.1878922523910593
acaciawood,1,0.3696952617736161
acad,4,1.8008074981470572
academ,1,0.5185708913922883
academe,1,0.4801043168814121
academi,3,1.4193342874949486
academia,22,9.652828072334502
academic,135,49.31542674629041
academically,5,2.054042312967467
academicchatter,7,3.663082065956879
academichour,11,5.335904735329041
academician,3,1.3569295229095317
academicsummer,1,0.495887705048549
academictwitter,23,10.683644803167741
academicyear,1,0.43187786233074343
academy,52,19.421491515299735
academyeyesmart,1,0.47213567011460367
acalan,2,0.6984781360533447
acalltoreturntocreator,4,2.0227782140596076
acapella,2,0.8418951683245344
acaps,1,0.6940354550955172
acas,2,1.0236806293324068
acbsp,1,0.3809930861847829
acca,1,0.4962119669985115
accasummit,1,0.7726983052863167
accc,2,1.0676840361807947
acce,9,3.666060826380546
acced,4,1.8268919880466352
accel,1,0.4454892668476683
acceler,3,1.681373288928913
accelera,2,1.0171965157417096
accelerant,6,2.7678073427746464
accelerat,1,0.45462482688941325
accelerate,76,30.541394493455236
accelerated,91,36.01753069941159
accelerates,15,7.055326182612088
acceleratin,1,0.486969748091869
accelerating,65,25.79812254902951
acceleratingbreakthroughs,1,0.45489740781476
acceleratio,1,0.49341792097819603
acceleration,18,7.9158849490051475
accelerator,14,6.820633988475139
accellerated,1,0.7731047558074226
accent,5,2.125137224814079
accentuated,2,0.98485278599888
accentuates,1,0.4695814604034971
accentuating,1,0.6611274408718973
accenture,7,3.108008872893743
accep,1,0.6046489052310707
accept,127,48.18233863427196
acceptab,1,0.48346965095802735
acceptability,1,0.5847727414067087
acceptable,42,18.57293281519877
acceptableloss,1,0.5430662171769872
acceptance,18,7.668405233290912
accepted,61,24.253067335267218
acceptin,1,0.7049748986259791
accepting,52,21.330935478032277
accepts,12,5.2571417497609625
accertati,1,0.39773193747923047
acces,7,3.151747961083903
accesible,2,1.0908582265661468
access,649,197.99852952083103
accessbank,1,0.5075388527760722
accesscontrol,1,0.447495568530079
accesscrisis,1,0.4661238869539398
accessed,4,2.1431927651507463
accessfinance,1,0.47732388906804796
accessforall,1,0.5441297324469828
accesshealth,2,1.0916320273119984
accessi,1,0.5644932624253749
accessib,1,0.48429996428677535
accessibility,17,7.433323789383643
accessibl,1,0.5355844528452034
accessible,49,20.113802564611888
accessing,20,8.29840687265002
accession,1,0.5670953983142987
accessorising,1,0.48865658778655136
accessorize,1,0.5211017317797548
accessorizing,1,0.4801236942247263
accessory,39,16.236741442593814
accesspoint,1,0.5203327653404821
accesstohousingcrisis,1,0.4661238869539398
accesstojustice,1,0.5563940438389865
accid,3,1.8813458778208387
accide,1,0.4472653515841645
accident,100,35.6421377420836
accidental,1,0.4790688897030045
accidentalcoverage,2,0.9921336886705635
accidentally,18,7.59367394737591
acciona,1,0.4900155908392974
acclaim,2,1.0029602700156157
acclaimed,4,1.6510556573590165
acclerated,1,0.4047201705444732
acclimatise,2,0.9824935398317749
acco,15,7.256655127124187
accodentally,1,0.44487054690010974
accoding,1,0.5090760456596981
accolad,1,0.5744061870846497
accolade,3,1.3249126056310303
accom,2,0.9886141185178757
accomadation,1,0.46088804677788603
accomm,1,0.41883827843096866
accommo,1,0.628874341565969
accommodate,12,5.211503904802075
accommodates,1,0.44016123939938
accommodating,2,0.9654158014125982
accommodation,25,10.388049681572541
accommodationspecials,1,0.4265613315291026
accomodated,1,0.5883693345065116
accomodation,2,0.9228072496404183
accompanied,12,4.806984592365074
accompanies,1,0.4744449258124152
accompany,3,1.6749813155595494
accompanying,5,2.3182161413756712
accompli,2,1.0483876568201782
accomplic,1,0.4847374485436358
accomplice,3,1.5896382291652804
accomplish,3,1.5494977934995022
accomplished,9,4.474599796626645
accomplishing,2,1.328747401949912
accomplishment,11,5.6519414296008135
accor,3,1.6270610692334861
accord,17,7.133968125718668
accordance,13,5.581917854764358
accorded,4,1.5270819015944763
accordi,5,2.5248285332714033
accordin,4,1.889740491855299
according,701,222.299625286747
accordingl,1,0.5886201837949255
accordingly,16,7.726299180560472
accosting,1,0.4576990561479753
accou,4,1.9011621300946415
accoun,3,1.4582245201896833
account,312,109.31140419114028
accounta,2,0.9946045554163492
accountab,1,0.4794756953031672
accountability,37,16.13666509889956
accountabl,1,0.5092294389843313
accountable,58,23.4896458851959
accountancy,1,0.43334366089189663
accountant,13,5.712557736835832
accounted,19,9.589190424942231
accountin,1,0.4706117788379265
accounting,60,24.344193329015695
accountingtop,5,2.184627052118928
accountspayable,2,1.0563389897310853
accout,1,0.5146375415977023
accr,1,0.39785382823120546
accra,3,1.5461470486823348
accredita,1,0.4626805210208659
accreditation,11,4.72267260090548
accredited,11,4.601056127019929
accrediting,1,0.5863090061127574
accreted,1,0.3706749638993264
accross,1,0.48546829391203905
accrual,2,0.7694224756230414
accrued,2,0.9474127283421923
acct,3,1.3990854222439908
accts,1,0.46459560818394835
accu,2,1.1579660031201617
accum,2,1.0420555812287362
accumu,1,0.534862450423914
accumulate,4,1.8721022577854114
accumulated,9,4.418220555027899
accumulates,1,0.732912981158106
accumulatie,1,0.4895403702161909
accumulating,2,0.764574300567737
accumulation,3,1.3809953458309017
accumulative,6,3.4406640794059182
accumulato,1,0.4144272228647373
accumulator,1,0.6465302729358798
accuplex,1,0.4309924502798547
accur,1,0.4797087190324601
accura,1,0.4840487175759579
accurac,1,0.43225840344685046
accuracy,26,10.588111572402093
accurat,1,0.474831416760691
accurate,145,57.18941854658819
accuratel,2,1.0209533643025916
accurately,23,9.942621024994526
accuraty,1,0.46913466598795206
accus,2,0.8666363300981176
accusation,8,3.3079764866036063
accuse,12,4.862184152248559
accused,69,23.70639777134819
accuser,3,1.2030430198950504
accuses,14,5.913628777103938
accuset,1,0.4361125825205665
accusing,11,4.77862684462835
accustomed,3,1.7844093516740465
accute,1,0.562509645473257
acdc,1,0.36660233805923853
acdis,1,0.44210159781976166
aceco,1,0.4346416103314074
acedailynews,2,0.9618616781562879
acedemicchatter,1,0.5396582599092468
aceinhibitors,1,0.8241276188484946
acemagashule,4,1.844641546535664
aceng,1,0.5453995229296018
acenzia,1,0.5072688377612689
acetate,1,0.4964871650327614
acetweetnews,1,0.5523036915043714
acetyl,1,0.7071067811865476
acetylcysteine,2,1.0943451494374532
acewater,1,0.5126535768196772
acha,2,1.2172879637460141
achaar,1,0.412262183064478
acharya,1,0.5603798330025751
achayo,2,0.831144537064749
ache,15,6.188560573187285
achedie,1,0.5498318152297283
acheived,15,8.290603072762858
achenyo,1,0.4087501162153269
achey,1,0.47636655038534775
achi,4,1.7697011648392005
achie,2,1.0480714541785539
achiev,3,1.753090764219356
achievable,3,1.7568533340989507
achieve,104,38.31295610924234
achieved,48,20.332823157660837
achieveitchat,1,0.5659238057212759
achievement,53,22.134236875815265
achieves,37,19.602608684862386
achieving,32,13.61830586410876
achievments,1,0.42186700140634903
achild,1,0.4961416503900611
achill,1,0.5156786954504838
achilles,1,0.48980977669051806
achiou,1,0.3276926769152821
achmadyurianto,1,0.6043028676308383
achs,1,0.47746671689669423
achsm,1,0.4642912753017973
achuar,3,1.1771705830471801
achy,1,0.5663483876863661
achyut,1,0.6356535959664473
achyuta,3,1.114435239839859
acid,28,9.958044917700114
acidosis,2,0.9751801893191282
aciklansin,1,0.4231832954452353
acintya,1,0.4578112125182481
acip,5,2.5004805609106255
acis,1,0.5210983504616703
ackermann,1,0.42016831200372656
ackli,1,0.4992102942804288
acknowl,1,0.5593529223990723
acknowle,4,1.8139940255301314
acknowledge,53,22.91433934022399
acknowledged,18,8.287493021779667
acknowledgement,13,6.3082875290655815
acknowledges,16,6.643824781620524
acknowledging,18,7.566441924117487
acknowleged,1,0.5071896956347491
ackshually,1,0.5702853104028869
acla,3,2.6498405620323373
aclocal,1,0.4641804569596621
acls,2,1.1522168365253052
aclu,3,1.5348065316504265
acmilan,1,0.46379689114234024
acmilanfc,1,0.46379689114234024
acne,5,2.7535189153249497
acnh,6,2.4899465271664467
acnhgiveaway,1,0.4077644912183745
acnhvillagertrade,1,0.3724093010588702
acnr,1,0.5165260852207086
acoording,1,0.5076305751773356
acorn,1,0.41388236643120563
acornie,1,0.448339226760608
acorss,1,0.5543856361886416
acosta,1,0.41803625650933934
acoustic,4,1.7450801622815055
acoustical,1,0.46754037308475005
acpinternists,1,0.4108968519509219
acquaint,1,0.6310110820611707
acquaintance,7,3.001647005689988
acqui,1,0.35739879589432394
acquiesce,1,0.5310712460150032
acquiesced,1,0.5052072375892495
acquiescence,1,0.4044499615918703
acquiescent,1,0.4793139596418791
acquire,16,6.804807891069668
acquired,32,12.917155889416087
acquires,1,0.43487991589645075
acquiring,12,5.138472003612018
acquisit,1,0.351389151953424
acquisition,16,6.804531265052796
acquittal,2,0.9411548029464805
acquitted,2,0.95568565463596
acra,1,0.4293635791587691
acral,1,0.4553002534425937
acrc,1,0.4846426297325064
acre,14,5.411294860225907
acrimony,7,3.311237877849292
acrm,1,0.4149648685504726
acro,14,6.211147558833313
acrobatic,1,0.4293063444702835
acrobatics,1,0.3976461642308718
acronym,3,1.4477279744309506
acroos,1,0.5313509772213073
acropoli,1,0.44411122798167424
acros,6,2.659306287115893
across,1156,325.14484126872713
acrylate,1,0.4295758055575515
acrylic,3,1.4460595705751633
acryliconcanvas,1,0.5379233529941108
acrylicpainting,1,0.5379233529941108
acsa,1,0.4439407816794073
acst,1,0.3339730171520719
acta,1,0.48622034311840584
acted,38,15.383900398168272
actemra,3,1.1902893292061543
actforals,1,0.5990487802156896
acth,1,0.4176091271910107
acti,40,18.393918572989012
actice,1,0.5798760750405614
actin,2,0.8928554734742582
acting,102,38.37006376631384
actio,3,1.544964579910548
action,706,213.84569430978982
actionable,9,4.018163268374307
actionables,1,0.7255629404570113
actionalert,1,0.6166125848095694
actioned,1,0.6729910866875864
actionfortheamazon,1,0.5511802715361304
activ,31,14.852905035642223
activate,4,2.087712653916089
activated,12,4.997157882910689
activates,3,1.046897985827682
activation,7,3.154804997668868
active,1793,588.7895378149964
activecasefinding,2,0.921335400816625
activecases,5,2.4636319720099826
actively,57,22.925585678783015
activeppe,1,0.499713163301269
activepracticeupdate,1,0.6082344999952027
activeracism,1,0.5706122398821609
activetransport,1,0.4157246304761334
activi,2,0.9515324656809337
activism,17,7.413000064134487
activist,68,24.763364212959463
activista,1,0.404773032791645
activit,3,1.4329978626283315
activity,343,108.44252985224301
actnow,1,0.5129418289202048
acto,1,0.4914841992605128
actofbjpleaders,1,0.3424489427744004
actoffraud,1,0.7474189787735391
actofgod,7,3.952136325368209
actofkindness,1,0.531690264337015
actofmodi,1,0.3424489427744004
acton,2,0.9655136517282562
actonclimate,1,0.7436686743724588
actor,151,53.69026955840616
actorlife,2,0.9030007948130443
actorslife,4,1.5792802707561013
actresponsibly,1,0.6650542301526798
actress,33,13.099887076793143
actsimultaneously,1,0.5373646387156293
actu,11,5.420590954000583
actua,4,2.2132577230770627
actual,177,67.32956705557093
actualit,1,0.4571557810785083
actualizaci,15,10.115404396634151
actuall,4,1.9687602580509962
actually,574,190.48643520946243
actuallyautistic,2,1.0867703430307742
actualy,1,0.5188974740119775
actuarial,1,0.4841278515742296
actuarily,1,0.4995301991572551
acuarela,1,0.41217258684599417
acuitas,4,1.8145402984539398
acuity,1,0.3731594464304494
acum,1,0.41424374284558874
acumatica,3,1.4262480647840365
acumen,1,0.5135617949700737
acuna,1,0.41684962942275533
acupuncture,1,0.4421119521201923
acurate,1,0.4350583529969045
acushnetcompany,1,0.515135439356646
acut,3,1.4565643916124036
acute,72,26.28961050306717
acuteflaccidmyelitis,2,1.1543663386608602
acutely,3,1.4269045389897335
acutemyocardialinfarction,1,0.6431776608764741
adabran,2,0.7239754214653293
adabyvvinchy,1,0.5258390136533777
adadevoh,1,0.41365587465210535
adage,3,1.3723431044782295
adai,1,0.39507126766419876
adair,1,0.7565092688154262
adajewels,1,0.44931822940257843
adalat,1,0.4511232371241994
adalimumab,1,0.5200496416070722
adalja,1,0.5471733895457815
adam,49,17.495133016906465
adama,1,0.49778669878016696
adamant,3,1.5835385472244226
adamantly,2,1.0094731769601846
adamawa,1,0.5909665877847814
adambakam,1,0.3551533591930694
adamu,1,0.38637957141024964
adanews,1,0.5819265791207852
adani,1,0.4094476678116607
adap,1,0.5052667222576217
adapt,150,53.91942403321535
adaptability,3,1.20342065162751
adaptable,3,1.7185319340592669
adaptation,13,5.528271767489602
adapted,53,21.098121370390402
adapti,1,0.5529627999047061
adaptibility,1,0.3995392934004734
adapting,66,26.21834640666529
adaption,6,3.683084400197436
adaptiv,1,0.4897399631901366
adaptive,11,4.3734304992556785
adaptiveimmunity,1,0.5365262735754682
adapts,14,6.156295868875254
adar,19,8.39058789371427
adare,2,0.8302156924474295
adarpoonawalla,1,0.5590250964235446
adays,1,0.5384106066339934
adbe,1,0.28522950887747384
adbproperties,1,0.44942948033811225
adcock,1,0.44151944711129704
adcom,1,0.5842607198186357
adcouncil,1,0.4838393005482914
adcovid,1,0.44135789860261165
adda,1,0.5832981595879346
addasong,1,0.7689084277522295
adde,1,0.5469491646624206
added,258,91.6066285213457
addendum,1,0.37142767446835884
adderall,1,0.4847746443363714
addi,4,1.9368094629426467
addict,8,3.322497729601484
addicted,4,1.9608376125170948
addictinggames,1,0.6684193271921335
addictio,1,0.5099854255853629
addiction,50,20.03689688242886
addictionrecovery,1,0.5903586043979154
addictive,3,1.5856872245780407
addimune,1,0.5026685512060124
addin,1,0.5480993160070835
adding,97,37.925846633066
addis,3,1.3212221510756756
addisababa,7,3.350276551549626
addit,6,2.918420374884692
additi,4,2.602329890665179
additio,3,1.419299045283623
addition,123,45.951858390004254
additiona,3,1.5984187867393445
additional,312,114.0027395808198
additionally,9,4.698473620469276
additive,4,1.8399635526959843
additivemanufacturing,1,0.6289807675619402
additonal,2,0.8393018554900527
addittothelist,1,0.49698023175886985
addl,4,1.7718360455119821
addo,9,3.709241801687899
addr,2,1.0251873349948324
addre,3,1.9670544045789298
addres,4,1.8275181634349378
address,344,113.24876062196232
addresse,2,0.9221656187872178
addressed,46,19.69049853177754
addressi,1,0.47162111880724905
addressing,105,40.87326836423753
addresstothenation,1,0.38618810291996003
addtl,2,1.127848724075883
adebis,1,0.33303859913324907
adeeko,1,0.40727015947162065
adefenders,1,0.40787771710431275
adejana,1,0.37803768995240106
adelaide,15,6.293053274673596
adelaideoval,1,0.41099856710438165
adeleye,1,0.41979453140449036
adeline,2,1.0078976153114785
adelson,1,0.4745570176100369
aden,3,1.354722961175853
adenatfriedman,1,0.37827290913972794
adenihum,1,0.4692825275841197
adeniran,1,0.43036902726265164
adeno,8,3.384199284334043
adenoma,1,0.6633555359508028
adenoviral,3,1.3325102007160807
adenovirus,14,5.64609298020189
adenoviruse,1,0.5234179427075444
adenovius,1,0.3883716758978109
adept,3,1.3030019123822163
adeq,4,1.9769860028754147
adequ,2,0.9736828844181161
adequacy,1,0.5245469156898932
adequat,2,0.9232126848741947
adequate,49,20.179407064859806
adequately,11,4.925876830695886
aderalls,1,0.5300785960179729
adern,1,0.43298260176866976
adesh,1,0.29379255947456734
adesina,1,0.4832437476730416
adffamilies,1,0.4967665304091925
adfilm,1,0.4549348701566722
adfkids,1,0.4967665304091925
adha,29,10.871805691807364
adham,1,0.6339398846601104
adhanom,15,6.4761993115883705
adhanomghebreyesus,2,1.1663889908112424
adhd,2,0.9482048355037365
adhe,2,0.982190248815059
adher,4,2.0155477740329584
adhere,47,18.795381393815365
adhered,9,4.044271905572107
adherenc,1,0.4431586833407179
adherence,23,9.514248785721184
adheres,1,0.5429820158650425
adheri,1,0.575920187905462
adherin,1,0.5695865441304254
adhering,15,6.832752027053523
adhesion,1,0.5589075578678594
adhesive,6,2.2588617155852826
adhiambo,1,0.48250866329911085
adhir,1,0.5729934237300177
adhoc,2,1.091749412115702
adian,1,0.4763992252622467
adiango,1,0.38491993655752604
adib,1,0.47225479784460933
adibatla,1,0.45418701563697117
